category	name	action	resource	scope	accessType	isActive
{"ja":"在庫管理"}	{"ja":"在庫取引作成"}	create	stock.transaction	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫取引作成(ゾーン)"}	create	stock.transaction	zone	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫取引閲覧(自分の)"}	read	stock.transaction	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫取引閲覧(チーム)"}	read	stock.transaction	team	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫取引閲覧(全て)"}	read	stock.transaction	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫取引閲覧(ゾーン)"}	read	stock.transaction	zone	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫切断"}	cut	stock.transaction	own	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫切断"}	cut	stock.transaction	team	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫切断"}	cut	stock.transaction	all	BOTH	TRUE
{"ja":"在庫管理"}	{"ja":"在庫切断(ゾーン)"}	cut	stock.transaction	zone	BOTH	TRUE
{"ja":"マスタ"}	{"ja":"会社閲覧"}	read	company	all	WEB	TRUE
{"ja":"マスタ"}	{"ja":"顧客閲覧"}	read	customer	all	WEB	TRUE
{"ja":"マスタ"}	{"ja":"工場閲覧"}	read	factory	all	WEB	TRUE
{"ja":"設備"}	{"ja":"設備作成(自分の)"}	create	machine	own	WEB	TRUE
{"ja":"設備"}	{"ja":"設備作成(チーム)"}	create	machine	team	WEB	TRUE
{"ja":"設備"}	{"ja":"設備作成(全て)"}	create	machine	all	WEB	TRUE
{"ja":"設備"}	{"ja":"設備更新(自分の)"}	update	machine	own	WEB	TRUE
{"ja":"設備"}	{"ja":"設備更新(チーム)"}	update	machine	team	WEB	TRUE
{"ja":"設備"}	{"ja":"設備更新(全て)"}	update	machine	all	WEB	TRUE
{"ja":"設備"}	{"ja":"設備閲覧(自分の)"}	read	machine	own	WEB	TRUE
{"ja":"設備"}	{"ja":"設備閲覧(チーム)"}	read	machine	team	WEB	TRUE
{"ja":"設備"}	{"ja":"設備閲覧(全て)"}	read	machine	all	WEB	TRUE
{"ja":"設備"}	{"ja":"設備削除(自分の)"}	delete	machine	own	WEB	TRUE
{"ja":"設備"}	{"ja":"設備削除(チーム)"}	delete	machine	team	WEB	TRUE
{"ja":"設備"}	{"ja":"設備削除(全て)"}	delete	machine	all	WEB	TRUE
{"ja":"請求書"}	{"ja":"請求書閲覧(自分の)"}	read	invoice	own	BOTH	TRUE
{"ja":"請求書"}	{"ja":"請求書閲覧(チーム)"}	read	invoice	team	BOTH	TRUE
{"ja":"請求書"}	{"ja":"請求書閲覧(全て)"}	read	invoice	all	BOTH	TRUE
{"ja":"請求書"}	{"ja":"請求書作成(自分の)"}	create	invoice	own	BOTH	TRUE
{"ja":"請求書"}	{"ja":"請求書作成(チーム)"}	create	invoice	team	BOTH	TRUE
{"ja":"請求書"}	{"ja":"請求書作成(全て)"}	create	invoice	all	BOTH	TRUE
{"ja":"請求書"}	{"ja":"請求書更新(自分の)"}	update	invoice	own	BOTH	TRUE
{"ja":"請求書"}	{"ja":"請求書更新(チーム)"}	update	invoice	team	BOTH	TRUE
{"ja":"請求書"}	{"ja":"請求書更新(全て)"}	update	invoice	all	BOTH	TRUE
{"ja":"請求書"}	{"ja":"請求書削除(自分の)"}	delete	invoice	own	WEB	TRUE
{"ja":"請求書"}	{"ja":"請求書削除(チーム)"}	delete	invoice	team	WEB	TRUE
{"ja":"請求書"}	{"ja":"請求書削除(全て)"}	delete	invoice	all	WEB	TRUE
{"ja":"マスタ"}	{"ja":"配送先住所作成"}	create	address	all	WEB	TRUE
{"ja":"マスタ"}	{"ja":"配送先住所閲覧"}	read	address	all	WEB	TRUE
{"ja":"マスタ"}	{"ja":"配送先住所更新"}	update	address	all	WEB	TRUE
{"ja":"マスタ"}	{"ja":"配送先住所削除"}	delete	address	all	WEB	TRUE
